Date,Zip,Country,OrderID,OrderLines
2016-07-15,2521,Australia,19183,"[{""ProductID"":604,""Date"":""2016-07-15"",""Units"":1,""Revenue"":461.7375,""OrderLine"":1},{""ProductID"":729,""Date"":""2016-07-15"",""Units"":1,""Revenue"":301.8225,""OrderLine"":2},{""ProductID"":393,""Date"":""2016-07-15"",""Units"":1,""Revenue"":141.645,""OrderLine"":3},{""ProductID"":1517,""Date"":""2016-07-15"",""Units"":1,""Revenue"":141.645,""OrderLine"":4},{""ProductID"":524,""Date"":""2016-07-15"",""Units"":1,""Revenue"":141.645,""OrderLine"":5},{""ProductID"":525,""Date"":""2016-07-15"",""Units"":1,""Revenue"":141.645,""OrderLine"":6},{""ProductID"":526,""Date"":""2016-07-15"",""Units"":1,""Revenue"":141.645,""OrderLine"":7},{""ProductID"":527,""Date"":""2016-07-15"",""Units"":1,""Revenue"":141.645,""OrderLine"":8},{""ProductID"":529,""Date"":""2016-07-15"",""Units"":1,""Revenue"":141.645,""OrderLine"":9},{""ProductID"":532,""Date"":""2016-07-15"",""Units"":1,""Revenue"":141.645,""OrderLine"":10},{""ProductID"":534,""Date"":""2016-07-15"",""Units"":1,""Revenue"":141.645,""OrderLine"":11},{""ProductID"":524,""Date"":""2016-07-15"",""Units"":1,""Revenue"":141.645,""OrderLine"":12},{""ProductID"":525,""Date"":""2016-07-15"",""Units"":1,""Revenue"":141.645,""OrderLine"":13},{""ProductID"":527,""Date"":""2016-07-15"",""Units"":1,""Revenue"":141.645,""OrderLine"":14},{""ProductID"":531,""Date"":""2016-07-15"",""Units"":1,""Revenue"":141.645,""OrderLine"":15},{""ProductID"":532,""Date"":""2016-07-15"",""Units"":1,""Revenue"":141.645,""OrderLine"":16},{""ProductID"":533,""Date"":""2016-07-15"",""Units"":1,""Revenue"":141.645,""OrderLine"":17},{""ProductID"":534,""Date"":""2016-07-15"",""Units"":1,""Revenue"":141.645,""OrderLine"":18},{""ProductID"":535,""Date"":""2016-07-15"",""Units"":1,""Revenue"":141.645,""OrderLine"":19}]"
2016-06-15,921-8121,Japan,18362,"[{""ProductID"":2277,""Date"":""2016-06-15"",""Units"":1,""Revenue"":251.9475,""OrderLine"":1},{""ProductID"":550,""Date"":""2016-06-15"",""Units"":1,""Revenue"":403.9875,""OrderLine"":2},{""ProductID"":1227,""Date"":""2016-06-15"",""Units"":1,""Revenue"":314.9475,""OrderLine"":3},{""ProductID"":728,""Date"":""2016-06-15"",""Units"":1,""Revenue"":62.9475,""OrderLine"":4},{""ProductID"":658,""Date"":""2016-06-15"",""Units"":1,""Revenue"":902.7375,""OrderLine"":5}]"
2016-06-15,960-0903,Japan,18466,"[{""ProductID"":922,""Date"":""2016-06-15"",""Units"":1,""Revenue"":472.4475,""OrderLine"":1},{""ProductID"":2380,""Date"":""2016-06-15"",""Units"":1,""Revenue"":309.6975,""OrderLine"":2}]"
2016-07-15,2770,Australia,19264,"[{""ProductID"":532,""Date"":""2016-07-15"",""Units"":1,""Revenue"":556.4475,""OrderLine"":1}]"
2016-06-15,4470,Mexico,18660,"[{""ProductID"":2388,""Date"":""2016-06-15"",""Units"":1,""Revenue"":309.7,""OrderLine"":1},{""ProductID"":2055,""Date"":""2016-06-15"",""Units"":2,""Revenue"":1102.4,""OrderLine"":2}]"
2016-06-15,4210,Mexico,18644,"[{""ProductID"":2254,""Date"":""2016-06-15"",""Units"":1,""Revenue"":57.7,""OrderLine"":1},{""ProductID"":2255,""Date"":""2016-06-15"",""Units"":1,""Revenue"":57.7,""OrderLine"":2}]"
2016-07-15,1114,Australia,18889,"[{""ProductID"":2388,""Date"":""2016-07-15"",""Units"":1,""Revenue"":309.6975,""OrderLine"":1},{""ProductID"":754,""Date"":""2016-07-15"",""Units"":1,""Revenue"":244.0725,""OrderLine"":2}]"
2016-06-15,960-0401,Japan,18388,"[{""ProductID"":604,""Date"":""2016-06-15"",""Units"":1,""Revenue"":461.7375,""OrderLine"":1},{""ProductID"":606,""Date"":""2016-06-15"",""Units"":1,""Revenue"":314.7375,""OrderLine"":2}]"
2016-06-15,4539,Mexico,18663,"[{""ProductID"":725,""Date"":""2016-06-15"",""Units"":1,""Revenue"":115.45,""OrderLine"":1},{""ProductID"":726,""Date"":""2016-06-15"",""Units"":1,""Revenue"":115.45,""OrderLine"":2}]"
2016-07-15,1314,Australia,18958,"[{""ProductID"":396,""Date"":""2016-07-15"",""Units"":1,""Revenue"":857.0625,""OrderLine"":1},{""ProductID"":550,""Date"":""2016-07-15"",""Units"":1,""Revenue"":403.9875,""OrderLine"":2},{""ProductID"":1960,""Date"":""2016-07-15"",""Units"":1,""Revenue"":97.0725,""OrderLine"":3}]"
